60.00, 80.00
60.02, 84.48
60.07, 88.93
60.15, 93.34
60.26, 97.71
60.41, 102.05
60.59, 106.36
60.80, 110.63
61.04, 114.86
61.32, 119.06
61.62, 123.23
61.96, 127.36
62.33, 131.46
62.73, 135.52
63.16, 139.55
63.62, 143.55
64.11, 147.51
64.63, 151.45
65.19, 155.34
65.77, 159.21
66.38, 163.04
67.02, 166.84
67.69, 170.61
68.39, 174.34
69.12, 178.05
69.88, 181.72
70.67, 185.36
71.49, 188.97
72.33, 192.55
73.21, 196.09
74.11, 199.61
75.04, 203.10
75.99, 206.55
76.98, 209.98
77.99, 213.37
79.03, 216.74
80.10, 220.07
81.20, 223.38
82.32, 226.65
83.47, 229.90
84.64, 233.12
85.84, 236.31
87.07, 239.47
88.32, 242.60
89.60, 245.71
90.91, 248.78
92.24, 251.83
93.59, 254.85
94.97, 257.85
96.38, 260.81
97.81, 263.75
99.27, 266.66
100.75, 269.55
102.25, 272.40
103.78, 275.24
105.34, 278.04
106.91, 280.82
108.52, 283.57
110.14, 286.30
111.79, 289.00
113.46, 291.68
115.15, 294.33
116.87, 296.96
118.61, 299.56
120.38, 302.14
122.16, 304.69
123.97, 307.22
125.80, 309.72
127.65, 312.20
129.52, 314.66
131.42, 317.09
133.33, 319.50
135.27, 321.89
137.23, 324.25
139.21, 326.59
141.21, 328.91
143.23, 331.20
145.27, 333.47
147.34, 335.72
149.42, 337.95
151.52, 340.16
153.64, 342.35
155.78, 344.51
157.94, 346.65
160.12, 348.77
162.32, 350.87
164.54, 352.95
166.78, 355.01
169.04, 357.05
171.31, 359.07
173.60, 361.07
175.91, 363.05
178.24, 365.01
180.59, 366.95
182.95, 368.87
185.33, 370.77
187.73, 372.65
190.15, 374.52
192.58, 376.36
195.03, 378.19
197.50, 380.00
199.98, 381.79
202.48, 383.56
205.00, 385.32
207.53, 387.06
210.08, 388.78
212.64, 390.48
215.22, 392.17
217.81, 393.84
220.42, 395.49
223.05, 397.13
225.69, 398.75
228.34, 400.36
231.01, 401.94
233.69, 403.52
236.39, 405.08
239.10, 406.62
241.82, 408.15
244.56, 409.66
247.31, 411.16
250.08, 412.64
252.86, 414.11
255.65, 415.56
258.45, 417.00
261.27, 418.43
264.10, 419.84
266.94, 421.24
269.80, 422.63
272.66, 424.00
275.54, 425.36
278.43, 426.71
281.33, 428.04
284.25, 429.37
287.17, 430.68
290.11, 431.98
293.05, 433.26
296.01, 434.54
298.98, 435.80
301.95, 437.05
304.94, 438.29
307.94, 439.52
310.95, 440.74
313.97, 441.95
316.99, 443.14
320.03, 444.33
323.08, 445.51
326.13, 446.68
329.19, 447.83
332.27, 448.98
335.35, 450.12
338.44, 451.25
341.54, 452.37
344.64, 453.48
347.76, 454.59
350.88, 455.68
354.01, 456.77
357.14, 457.84
360.29, 458.91
363.44, 459.98
366.60, 461.03
369.76, 462.08
372.93, 463.12
376.11, 464.15
379.29, 465.18
382.48, 466.20
385.68, 467.21
388.88, 468.22
392.09, 469.22
395.30, 470.22
398.52, 471.21
401.74, 472.19
404.97, 473.17
408.20, 474.14
411.44, 475.11
414.68, 476.07
417.93, 477.03
421.18, 477.99
424.43, 478.93
427.69, 479.88
430.95, 480.82
434.22, 481.76
437.49, 482.69
440.76, 483.63
444.04, 484.55
447.31, 485.48
450.59, 486.40
453.88, 487.32
457.16, 488.23
460.45, 489.15
463.74, 490.06
467.03, 490.97
470.32, 491.88
473.61, 492.78
476.91, 493.69
480.21, 494.59
483.50, 495.50
486.80, 496.40
490.10, 497.30
493.40, 498.20
